TANGGAL,Curah_Hujan
21-11-2024,40.5
22-11-2024,4
23-11-2024,2.6
24-11-2024,0
25-11-2024,2.7
26-11-2024,19.8
27-11-2024,6
28-11-2024,17.5
29-11-2024,13
30-11-2024,9
01-12-2024,0
02-12-2024,1.8
03-12-2024,1
04-12-2024,0.4
05-12-2024,0.1
06-12-2024,0.8
07-12-2024,0
08-12-2024,24.5
09-12-2024,0
10-12-2024,0.11
11-12-2024,35.5
12-12-2024,6
13-12-2024,1
14-12-2024,0
15-12-2024,0
16-12-2024,1
17-12-2024,18.6
18-12-2024,1.7
19-12-2024,11.4
20-12-2024,17.5
21-12-2024,22.1
22-12-2024,16.5
23-12-2024,13
24-12-2024,17.8
25-12-2024,2.2
26-12-2024,25.2
27-12-2024,25
28-12-2024,0
29-12-2024,0
30-12-2024,10.7
31-12-2024,15.5
